[2024-05-05T07:56:35.177+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-05T07:56:35.189+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: sample.upload_clean_to_gcs manual__2024-05-05T06:09:12.404579+00:00 [queued]>
[2024-05-05T07:56:35.195+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: sample.upload_clean_to_gcs manual__2024-05-05T06:09:12.404579+00:00 [queued]>
[2024-05-05T07:56:35.195+0000] {taskinstance.py:2303} INFO - Starting attempt 6 of 6
[2024-05-05T07:56:35.210+0000] {taskinstance.py:2327} INFO - Executing <Task(LocalFilesystemToGCSOperator): upload_clean_to_gcs> on 2024-05-05 06:09:12.404579+00:00
[2024-05-05T07:56:35.219+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'sample', 'upload_clean_to_gcs', 'manual__2024-05-05T06:09:12.404579+00:00', '--job-id', '125', '--raw', '--subdir', 'DAGS_FOLDER/my_dag.py', '--cfg-path', '/tmp/tmp42uv3lyu']
[2024-05-05T07:56:35.221+0000] {standard_task_runner.py:91} INFO - Job 125: Subtask upload_clean_to_gcs
[2024-05-05T07:56:35.225+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=9298) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-05-05T07:56:35.226+0000] {standard_task_runner.py:63} INFO - Started process 9310 to run task
[2024-05-05T07:56:35.260+0000] {task_command.py:426} INFO - Running <TaskInstance: sample.upload_clean_to_gcs manual__2024-05-05T06:09:12.404579+00:00 [running]> on host 5bc5768c5236
[2024-05-05T07:56:35.938+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_1.csv uploaded to pm25_cleaned/2024-05-03_1.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:35.997+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_10.csv uploaded to pm25_cleaned/2024-05-05_10.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.047+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_18.csv uploaded to pm25_cleaned/2024-05-02_18.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.139+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_10.csv uploaded to pm25_cleaned/2024-05-02_10.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.189+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_10.csv uploaded to pm25_cleaned/2024-05-04_10.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.236+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_15.csv uploaded to pm25_cleaned/2024-05-02_15.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.286+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_13.csv uploaded to pm25_cleaned/2024-05-05_13.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.340+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_22.csv uploaded to pm25_cleaned/2024-05-04_22.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.457+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_6.csv uploaded to pm25_cleaned/2024-05-04_6.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.521+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_19.csv uploaded to pm25_cleaned/2024-05-04_19.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.573+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_9.csv uploaded to pm25_cleaned/2024-05-04_9.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.628+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_15.csv uploaded to pm25_cleaned/2024-05-04_15.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.679+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_13.csv uploaded to pm25_cleaned/2024-05-02_13.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.733+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_18.csv uploaded to pm25_cleaned/2024-05-04_18.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.787+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_21.csv uploaded to pm25_cleaned/2024-05-04_21.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.848+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_19.csv uploaded to pm25_cleaned/2024-05-03_19.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.903+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_21.csv uploaded to pm25_cleaned/2024-05-03_21.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:36.963+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_7.csv uploaded to pm25_cleaned/2024-05-02_7.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.012+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_23.csv uploaded to pm25_cleaned/2024-05-03_23.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.066+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_2.csv uploaded to pm25_cleaned/2024-05-02_2.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.129+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_4.csv uploaded to pm25_cleaned/2024-05-05_4.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.183+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_5.csv uploaded to pm25_cleaned/2024-05-04_5.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.242+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_23.csv uploaded to pm25_cleaned/2024-05-04_23.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.342+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_15.csv uploaded to pm25_cleaned/2024-05-03_15.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.399+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_10.csv uploaded to pm25_cleaned/2024-05-03_10.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.441+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_12.csv uploaded to pm25_cleaned/2024-05-05_12.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.517+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_17.csv uploaded to pm25_cleaned/2024-05-02_17.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.581+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_17.csv uploaded to pm25_cleaned/2024-05-04_17.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.638+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_3.csv uploaded to pm25_cleaned/2024-05-02_3.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.683+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_8.csv uploaded to pm25_cleaned/2024-05-04_8.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.736+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_4.csv uploaded to pm25_cleaned/2024-05-03_4.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.788+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_22.csv uploaded to pm25_cleaned/2024-05-02_22.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.831+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_5.csv uploaded to pm25_cleaned/2024-05-03_5.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.891+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_0.csv uploaded to pm25_cleaned/2024-05-05_0.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:37.948+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_9.csv uploaded to pm25_cleaned/2024-05-02_9.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.019+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_23.csv uploaded to pm25_cleaned/2024-05-02_23.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.069+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_20.csv uploaded to pm25_cleaned/2024-05-04_20.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.117+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_11.csv uploaded to pm25_cleaned/2024-05-05_11.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.186+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_0.csv uploaded to pm25_cleaned/2024-05-04_0.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.237+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_14.csv uploaded to pm25_cleaned/2024-05-04_14.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.304+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_6.csv uploaded to pm25_cleaned/2024-05-03_6.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.351+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_20.csv uploaded to pm25_cleaned/2024-05-03_20.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.397+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_12.csv uploaded to pm25_cleaned/2024-05-03_12.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.449+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_16.csv uploaded to pm25_cleaned/2024-05-03_16.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.496+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_14.csv uploaded to pm25_cleaned/2024-05-02_14.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.549+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_12.csv uploaded to pm25_cleaned/2024-05-02_12.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.598+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_17.csv uploaded to pm25_cleaned/2024-05-03_17.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.656+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_16.csv uploaded to pm25_cleaned/2024-05-02_16.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.781+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_6.csv uploaded to pm25_cleaned/2024-05-02_6.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.839+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_11.csv uploaded to pm25_cleaned/2024-05-03_11.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.899+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_7.csv uploaded to pm25_cleaned/2024-05-03_7.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:38.957+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_8.csv uploaded to pm25_cleaned/2024-05-02_8.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.008+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_2.csv uploaded to pm25_cleaned/2024-05-03_2.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.052+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_6.csv uploaded to pm25_cleaned/2024-05-05_6.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.102+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_9.csv uploaded to pm25_cleaned/2024-05-03_9.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.142+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_5.csv uploaded to pm25_cleaned/2024-05-02_5.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.188+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_3.csv uploaded to pm25_cleaned/2024-05-04_3.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.258+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_4.csv uploaded to pm25_cleaned/2024-05-02_4.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.325+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_18.csv uploaded to pm25_cleaned/2024-05-03_18.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.377+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_14.csv uploaded to pm25_cleaned/2024-05-05_14.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.427+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_11.csv uploaded to pm25_cleaned/2024-05-02_11.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.469+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_16.csv uploaded to pm25_cleaned/2024-05-04_16.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.531+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_4.csv uploaded to pm25_cleaned/2024-05-04_4.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.592+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_1.csv uploaded to pm25_cleaned/2024-05-02_1.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.641+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_0.csv uploaded to pm25_cleaned/2024-05-02_0.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.699+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_7.csv uploaded to pm25_cleaned/2024-05-04_7.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.742+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-01_23.csv uploaded to pm25_cleaned/2024-05-01_23.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.805+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_1.csv uploaded to pm25_cleaned/2024-05-04_1.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.850+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_0.csv uploaded to pm25_cleaned/2024-05-03_0.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.925+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_9.csv uploaded to pm25_cleaned/2024-05-05_9.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:39.985+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_7.csv uploaded to pm25_cleaned/2024-05-05_7.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.063+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_8.csv uploaded to pm25_cleaned/2024-05-05_8.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.124+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_12.csv uploaded to pm25_cleaned/2024-05-04_12.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.184+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_3.csv uploaded to pm25_cleaned/2024-05-03_3.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.239+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_20.csv uploaded to pm25_cleaned/2024-05-02_20.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.317+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_3.csv uploaded to pm25_cleaned/2024-05-05_3.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.388+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_2.csv uploaded to pm25_cleaned/2024-05-05_2.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.437+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_8.csv uploaded to pm25_cleaned/2024-05-03_8.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.487+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_13.csv uploaded to pm25_cleaned/2024-05-04_13.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.698+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/all_data.csv uploaded to pm25_cleaned/all_data.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.746+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_11.csv uploaded to pm25_cleaned/2024-05-04_11.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:56:40.746+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-05-05T07:56:40.756+0000] {taskinstance.py:1205} INFO - Marking task as SUCCESS. dag_id=sample, task_id=upload_clean_to_gcs, execution_date=20240505T060912, start_date=20240505T075635, end_date=20240505T075640
[2024-05-05T07:56:40.825+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-05-05T07:56:40.844+0000] {taskinstance.py:3482} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-05-05T07:56:40.853+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
